NC_001133.9	98	331	3008	plus	0.538961038961039	3.34e-11	58.9
NC_001133.9	335	750	3664	plus	0.88034188034188	2.82e-37	131
NC_001133.9	1807	2707	6454	minus	0.963636363636364	2.91e-67	219
NC_001133.9	3276	3894	2022	minus	0.426315789473684	1.01e-19	90.1
NC_001133.9	7250	9016	80	minus	0.991582491582492	0.0	1035
NC_001133.9	10091	10399	79	plus	1	1.04e-44	152
NC_001133.9	11565	27968	73	minus	0.447467876039305	0.0	803
NC_001133.9	31573	32940	72	plus	0.995633187772926	0.0	823
NC_001133.9	33448	36303	71	plus	0.916267942583732	0.0	797
NC_001133.9	36496	37138	69	plus	0.985915492957746	3.71e-100	316
NC_001133.9	37464	39046	67	plus	0.956262425447316	0.0	965
NC_001133.9	39259	41901	66	plus	1	0.0	1547
NC_001133.9	42177	42719	64	plus	1	5.48e-106	331
NC_001133.9	42881	45022	63	minus	1	0.0	1365
NC_001133.9	45899	48250	62	plus	1	0.0	1300
NC_001133.9	48564	51701	61	plus	0.998091603053435	0.0	1821
NC_001133.9	51855	52595	60	minus	1	1.18e-162	497
NC_001133.9	52849	54913	59	minus	0.975867269984917	0.0	1238
NC_001133.9	54989	56857	57	minus	1	0.0	916
NC_001133.9	57029	57385	56	minus	1	8.65e-77	244
NC_001133.9	57488	57850	54	plus	1	1.21e-72	232
NC_001133.9	57950	58420	53	minus	0.91812865497076	1.47e-102	321
NC_001133.9	58695	61052	52	minus	1	0.0	1315
NC_001133.9	61231	62563	51	plus	1	0.0	872
NC_001133.9	62840	65404	49	plus	1	0.0	1268
NC_001133.9	65778	67520	48	minus	1	0.0	923
NC_001133.9	68716	69525	47	minus	1	4.15e-173	528
NC_001133.9	71786	73282	46	plus	0.996007984031936	0.0	977
NC_001133.9	73426	73518	43	minus	1	3.36e-14	61.6
NC_001133.9	74020	74823	45	plus	1	2.04e-154	474
NC_001133.9	75043	76152	42	minus	1	0.0	642
NC_001133.9	76448	79435	41	plus	0.825523429710867	0.0	1263
NC_001133.9	79489	80560	40	plus	0.968965517241379	3.40e-145	449
NC_001133.9	80710	81954	38	minus	1	0.0	649
NC_001133.9	82706	83173	37	plus	0.896551724137931	9.21e-85	270
